Model,Crop,R2,MAE,RMSE,MAPE
Transformer,Arecanut,-0.58,1162.59,1410.2,20.24
Transformer,Banana,-0.0796,10228.36,12525.58,18.32
Transformer,Black Pepper,-0.7871,233.73,276.14,25.22
Transformer,Cashewnut,-1.8817,217.28,261.61,18.98
Transformer,Cocoa,-0.3597,212.47,251.36,24.93
Transformer,Coconut,-0.5567,5041.87,6429.96,20.5
Transformer,Rice,0.0229,1141.1,1430.64,14.41
Transformer,Sweet Potato,-0.2234,3000.88,3737.84,19.67
LSTM,Arecanut,-8.0906,3143.45,3382.59,48.62
LSTM,Banana,-17.1006,49829.49,51288.09,77.69
LSTM,Black Pepper,-4.6544,440.74,491.19,44.77
LSTM,Cashewnut,-12.1624,533.87,559.11,46.66
LSTM,Cocoa,-3.1948,389.28,441.51,38.41
LSTM,Coconut,-13.5286,18891.25,19643.3,66.91
LSTM,Rice,-8.4081,4196.99,4439.34,49.89
LSTM,Sweet Potato,-9.0486,10134.03,10712.3,58.74
Attention-LSTM,Arecanut,-2.3398,1705.17,2050.28,25.48
Attention-LSTM,Banana,-3.642,23293.4,25972.97,34.59
Attention-LSTM,Black Pepper,-1.4143,278.74,320.96,28.99
Attention-LSTM,Cashewnut,-4.3248,304.09,355.62,25.93
Attention-LSTM,Cocoa,-0.947,253.19,300.79,27.24
Attention-LSTM,Coconut,-3.6683,9821.51,11134.74,33.37
Attention-LSTM,Rice,-3.7792,2657.34,3164.08,30.15
Attention-LSTM,Sweet Potato,-3.2515,6136.76,6967.88,34.2
CNN-LSTM,Arecanut,-8.4972,3250.72,3457.42,50.6
CNN-LSTM,Banana,-15.1737,46882.37,48481.34,72.74
CNN-LSTM,Black Pepper,-2.4853,345.78,385.63,34.81
CNN-LSTM,Cashewnut,-10.0317,478.28,511.86,41.23
CNN-LSTM,Cocoa,-2.4225,346.34,398.8,34.13
CNN-LSTM,Coconut,-12.4452,18154.91,18896.76,64.23
CNN-LSTM,Rice,-11.2807,4834.94,5072.0,57.76
CNN-LSTM,Sweet Potato,-9.6439,10502.14,11025.07,61.21
GRU,Arecanut,-9.4415,3407.59,3625.23,53.17
GRU,Banana,-16.0863,48392.5,49830.3,75.38
GRU,Black Pepper,-4.4334,433.86,481.49,44.47
GRU,Cashewnut,-9.5923,449.76,501.56,39.08
GRU,Cocoa,-3.6556,409.23,465.12,40.86
GRU,Coconut,-13.8294,19061.37,19845.6,67.46
GRU,Rice,-10.4298,4635.56,4893.13,55.25
GRU,Sweet Potato,-10.5936,10973.92,11506.43,63.94
BiLSTM,Arecanut,-5.1391,2556.05,2779.75,39.33
BiLSTM,Banana,-10.0279,38294.29,40032.86,58.89
BiLSTM,Black Pepper,-5.9209,502.55,543.42,51.2
BiLSTM,Cashewnut,-18.0432,654.5,672.51,57.57
BiLSTM,Cocoa,-3.9185,428.26,478.08,42.68
BiLSTM,Coconut,-8.235,14641.53,15661.08,50.89
BiLSTM,Rice,-6.3551,3684.96,3925.21,43.59
BiLSTM,Sweet Potato,-6.4045,8544.25,9195.55,48.96
